"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"871","@GonzoLecture Peeps should have voted for #JillStein!",FALSE,1,"GonzoLecture",2016-11-11 23:08:54,FALSE,"797165198159319040","797214550000926720","85256730","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","QueenofBohemia7",0,FALSE,FALSE,NA,NA
"872","Notice how I lead the revolution lol jk @katyperry #DonaldTrump #HillaryClinton #feelthebern #JillStein #BERNIE2020 https://t.co/T5VwgYT3A5",FALSE,0,NA,2016-11-11 23:06:35,FALSE,NA,"797213963918475264",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TurdWorldWar",0,FALSE,FALSE,NA,NA
"873","Jill Stein voters did not deliver Donald Trump the #presidency https://t.co/dhZiZJL7Sv via @voxdotcom #JillStein
#DonaldTrump #ThirdParty",FALSE,5,NA,2016-11-11 22:59:55,FALSE,NA,"797212287492882432",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","javmaher9",4,FALSE,FALSE,NA,NA
"874","@QueenBee49444 #JillStein?",FALSE,0,"QueenBee49444",2016-11-11 22:59:54,FALSE,"797210785990737920","797212285181644800","21938943","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GoodbyeWW3",0,FALSE,FALSE,NA,NA
"875","RT @EricMcCormack: This is heartbreaking. If you threw your vote away on #JillStein, do me a favor: don't tell me. Self(ish)-destruction. @…",FALSE,0,NA,2016-11-11 22:55:46,FALSE,NA,"797211244923076608",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","HouseOfMichele",536,TRUE,FALSE,NA,NA
"876","#StandWithStandingRock! #NoDAPL #FeelTheBern #BernieSanders #JillStein #OurRevolution @SenSanders @DrJillStein https://t.co/KEfXcAl1Nr",FALSE,0,NA,2016-11-11 22:49:53,FALSE,NA,"797209761884344320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DSzul78",0,FALSE,FALSE,NA,NA
"877","Katy Perry makes me want to cry too...
#NeverHillary #CanYouHearMeNow? #VoteYourConscience #DemExit #1atNumber2s… https://t.co/B12F4gumgj",FALSE,1,NA,2016-11-11 22:40:25,TRUE,NA,"797207381293678592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TrulyProgressiv",1,FALSE,FALSE,NA,NA
"878","#JillStein voters did not deliver #Trump the presidency https://t.co/UZsxB9YiWJ via @voxdotcom #Election2016 #ScapeGoat #Clinton #Democrats",FALSE,0,NA,2016-11-11 22:40:00,FALSE,NA,"797207273802256384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","agmaldonado",0,FALSE,FALSE,NA,NA
"879","#JillStein got 692 votes in NC, a lot is due to not being on the ballot and needing to write in.
https://t.co/dzQderJgSZ",FALSE,0,NA,2016-11-11 22:35:22,FALSE,NA,"797206111078273024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maxpolk",0,FALSE,FALSE,NA,NA
"880","#TrumpPresident  #trump  #BernieSanders #Clinton #JillStein  Stop the Dakota Access Pipe Line #NoDAPL to #Obama  https://t.co/Ixw0zQ1ep1",FALSE,0,NA,2016-11-11 22:27:41,FALSE,NA,"797204177608916992",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","djlmntz",0,FALSE,FALSE,NA,NA
